,coef,RRR,p_value,sig
const,-1.2796716904854406,0.27812859773039766,0.00021799377634535057,***
female_bin,0.10443144727247133,1.1100792922945015,0.4039185934580668,
educ_ord,-0.11910653273488911,0.8877132252066647,0.2957515858002817,
inc_q_ord,0.16054961499230752,1.17415602743773,0.0001488101262544549,***
employed_bin,-0.1049301118945788,0.9003874467602134,0.4319899342698351,
urban_bin,-0.0819702565275552,0.9212993609309831,0.5093290589440891,
account_fin_bin,0.19329278440446085,1.2132379586763733,0.24991367406309284,
account_mob_bin,0.6003960834292379,1.8228406544012152,0.022905269995687597,**
saved_bin,0.17288772783125622,1.1887326360006403,0.18591518078804847,
borrowed_bin,-0.27161885799392155,0.7621446910952703,0.024784261044413225,**
anydigpayment_bin,-0.057335265188444944,0.9442774329394048,0.7443787315250179,
internet_use_bin,-0.10997082306709015,0.8958602733703047,0.48148915183833096,
fin24a_ord,-0.5493750074086823,0.577310512443854,3.8231733716823754e-09,***
receive_wages_recv,-0.07527262146137625,0.9274905980164846,0.5889597513263894,
receive_transfers_recv,-0.03199101915407263,0.9685152801266488,0.8477872936651456,
receive_pensions_recv,0.11283320045865372,1.119445194430076,0.645676055840069,
receive_agriculture_recv,-0.015619307571138885,0.9845020411972908,0.9259291596469357,
dig_account_bin,-0.15791153274533873,0.8539253230559927,0.4694699718997134,
merchantpay_dig_bin,0.19068404314539955,1.2100770595331531,0.40971394196794597,
has_mobile_phone_bin,-0.21695068916876087,0.8049696620495103,0.11281768955474211,
age_c,0.5299618750142397,1.6988675380831726,5.756003401311528e-23,***
age_c_sq,-0.007311426560262771,0.9927152368967008,0.7209905729855796,
fin28_bin,0.11751743103515648,1.1247012344796274,0.7666215100840067,
fin29_bin,-0.14869773107407114,0.8618295798331771,0.7446432331672663,
fin24_Don't_know_Refused,-0.43962745277717746,0.644276399762132,0.36581865627747734,
fin24_Family_relatives_or_friends,0.11985283741022729,1.1273309384311403,0.5427204768363454,
fin24_I_could_not_come_up_with_the_money,-1.4940246779218438,0.2244674260390052,8.718404130074787e-05,***
fin24_Money_from_working,0.08960995942943276,1.0937475945617419,0.6817917709673051,
fin24_Savings,0.5151156307363958,1.6738320370390483,0.0299807892441981,**
fin24_Selling_something_you_own_such_as_jewelery_or_livestock,0.3079627744708003,1.3606503370655316,0.18516591246850478,
fin24_Some_other_source,-0.4176832319024842,0.65857080960959,0.6055781877910227,
pay_utilities_From_an_account,-0.13047460770930674,0.8776787789404813,0.49102057379047104,
pay_utilities_In_cash_only,-0.3866546180321571,0.6793256812539589,0.003627630609439907,***
pay_utilities_Other_DK,-0.013885742518568134,0.9862102197216001,0.9813058817087046,
domestic_remittances_Not_Applicable,0.8172356593396133,2.264232069626253,0.5304251033074041,
domestic_remittances_Not_using_an_account,0.03266593751948878,1.033205326448964,0.856323755025776,
domestic_remittances_Using_an_account,-0.4454142112924494,0.6405588943465503,0.4013935034833669,
economy_India,0.8522181596996216,2.3448423223455888,2.4928132911559457e-05,***
economy_Nepal,0.6921684583521256,1.9980435131690921,0.002590165822752883,***
economy_Pakistan,-0.4138156238363697,0.6611228353213748,0.0822079425222034,*
economy_Sri_Lanka,-0.34572907955426463,0.707704192672178,0.15023522817591528,
