,coef,RRR,p_value,sig
const,-1.4280574339106074,0.23977424745715656,0.003895557764794425,***
female_bin,-0.10938087303967509,0.8963889420918698,0.5216296676814116,
educ_ord,0.08227182655910711,1.085750905653022,0.5937265308209305,
inc_q_ord,0.24555371738730442,1.278328950237783,5.33891413095423e-05,***
employed_bin,0.09808862498726215,1.1030605395029656,0.6040892649551028,
urban_bin,-0.21955904275850513,0.8028727524715424,0.19587872688601815,
account_fin_bin,-0.08919009711242759,0.914671680601398,0.7040275767523072,
account_mob_bin,-0.32887979325213273,0.7197295278932515,0.31560526217307683,
saved_bin,0.00852517852391276,1.00856162134525,0.9630913708874355,
borrowed_bin,-0.6643067214118505,0.5146301861493887,7.070281318881083e-05,***
anydigpayment_bin,0.15673550458126398,1.1696861963426628,0.5175051276973833,
internet_use_bin,0.2579602115921759,1.2942873199679914,0.21858704251342886,
fin24a_ord,-0.7226800851112892,0.4854494650609459,8.489000686916808e-09,***
receive_wages_recv,-0.14694921527709082,0.8633378206750262,0.4540237092165922,
receive_transfers_recv,0.6045406574479143,1.830411229986115,0.00586015277236056,***
receive_pensions_recv,0.7228638355144513,2.0603252022550547,0.028795174047115613,**
receive_agriculture_recv,-0.08862121313012637,0.9151921707047609,0.7243055157287155,
dig_account_bin,0.047722469302384246,1.0488795186621296,0.8578297199417108,
merchantpay_dig_bin,-0.01869826699746815,0.981475461106951,0.9504745249082123,
has_mobile_phone_bin,-0.466220634698052,0.6273688494395,0.01617615171644581,**
age_c,0.039909084398945464,1.040716152556625,0.5224744315859453,
age_c_sq,0.0777385653395857,1.080840052678058,0.0017599115725271384,***
fin28_bin,1.6145798468031813,5.0257758840055935,0.009125840917577212,***
fin29_bin,-0.6360362365085882,0.5293866342378076,0.1642172882890811,
fin24_Don't_know_Refused,-0.5638540145284308,0.5690118525797228,0.3564295316353502,
fin24_Family_relatives_or_friends,0.4504005050167494,1.568940428187065,0.17595689594162378,
fin24_I_could_not_come_up_with_the_money,-1.3312481348033036,0.2641473639463247,0.012109359788230937,**
fin24_Money_from_working,0.6111232116144321,1.8424997540872117,0.0810723189842358,*
fin24_Savings,0.5584758112862901,1.748006177535466,0.14229657716288172,
fin24_Selling_something_you_own_such_as_jewelery_or_livestock,0.18830002007999605,1.207195643957633,0.6449169598047328,
fin24_Some_other_source,1.6393495297233756,5.151817318065542,0.00627136045432511,***
pay_utilities_From_an_account,-0.4728041541511297,0.6232521205664473,0.07435590491600377,*
pay_utilities_In_cash_only,-0.3694549455543663,0.6911109210768437,0.05723180002094147,*
pay_utilities_Other_DK,0.5698021414819995,1.76791721934528,0.35680515828769543,
domestic_remittances_Not_Applicable,1.4745337305489568,4.36899816755291,0.2670896728984835,
domestic_remittances_Not_using_an_account,0.12547761660996581,1.1336897928557148,0.6355314813474934,
domestic_remittances_Using_an_account,-0.5889298494997429,0.5549208158827557,0.3992869578234186,
economy_India,-0.1928992448659767,0.8245650491159573,0.4549773289566753,
economy_Nepal,-0.644169875859205,0.5250982579726747,0.05815658351011215,*
economy_Pakistan,-1.268328271592504,0.2813014886136709,5.0800003942541235e-05,***
economy_Sri_Lanka,-0.010083923593237072,0.9899667486960829,0.9707337069001863,
