model,accuracy,f1_macro,f1_weighted,roc_auc_macro
Multinomial Logistic Regression,0.4419047619047619,0.2795735785603846,0.3963058892773888,0.7154695718899737
Support Vector Machine (RBF),0.3719047619047619,0.31666218991492406,0.39092249646404215,0.712290974810474
Random Forest,0.4095238095238095,0.3363915472698992,0.41746622731403077,0.7076411146197756
XGBoost,0.37952380952380954,0.312597722184977,0.3918525269392936,0.6937288954463599
